Beitbridge,7
Bindura,4
Bulawayo,2
Chegutu,5
Chinhoyi,5
Chipinge,10
Chiredzi,9
Chitungwiza,1
Gokwe,8
Gweru,8
Harare,1
Kadoma,5
Kariba,5
Karoi,5
Kwekwe,8
Marondera,3
Masvingo,9
Mutare,10
Norton,5
Redcliff,8
Rusape,10
Shurugwi,8
Victoria Falls,6
Zvishavane,5
