Sauerstown,3,3,2
Selbourne Park,3,3,2
Sizinda,3,3,2
Southdale,3,3,2
Souththwold,3,3,2
Steeldale,3,3,2
Suburbs,3,3,2
Sunninghill,3,3,2
Sunnyside,3,3,2
Tegela,3,3,2
The Jungle,3,3,2
Thorngrove,3,3,2
Trenance,3,3,2
Tshabalala,3,3,2
Tshabalala Extension,3,3,2
Umguza Estate,3,3,2
Upper Rangemore,3,3,2
Waterford,3,3,2
Waterlea,3,3,2
West Somerton,3,3,2
Westgate,3,3,2
Westondale,3,3,2
Willsgrove,3,3,2
Windsor Park,3,3,2
Woodlands,3,3,2
Woodville,3,3,2
Woodville Park,3,3,2
Arcturus,,,3
Beatrice,,,3
Bondamakara,,,3
Bromley,,,3
Chivhu,,,3
Epworth,,,3
Goromonzi,,5,3
Headlands,,,3
Juru,,,3
Kotwa,,8,3
Macheke,,7,3
Mahusekwa,,,3
Makaha,,,3
Makosa,,,3
Murewa,,9,3
Mutoko,,10,3
Nharira,,,3
Nyamapanda,,,3
Ruwa,,,3
Sadza,,,3
Suswe,,,3
Wedza,,6,3
Glendale,,,4
Guruve,,14,4
Matepatepa,,,4
Mazowe,,15,4
Mt Darwin,,16,4
Mvurwi,,,4
Shamva,,19,4
Alaska,,,5
Banket,,,5
Battlefields,,,5
Bumi Hills,,,5
Cape Haig,,,5
Chakari,,,5
Charara,,,5
Chinengundu,4,20,5
Chirundu,,,5
Darwendale,,,5
Doma,,,5
Eiffel Flats,,,5
Eldorado,,,5
Feok,,,5
Gadzema,,,5
Golden Valley,,,5
Kaguvi,4,20,5
Kildonan,,,5
Lion's Den,,,5
Madadzi,,,5
Magunje,,,5
Makuti,,,5
Makwiro,,,5
Mhangura,,,5
Mubayira,,,5
Munyati,,,5
Muriel,,,5
Murombedzi,,,5
Mutorashanga,,,5
Mwami,,,5
Orlando Heights,,,5
Pfupajena,4,20,5
Raffingora,,,5
Sanyati,,,5
Selous,,,5
Shackleton,,,5
Tashinga,,,5
Tengwe,,,5
Trelawney,,,5
Umsweswe,,,5
Umvovo,4,20,5
Unsworth,,,5
Vanad,,,5
Venice,,,5
Vuti,,,5
Zave,,,5
Amaveni Township,15,44,8
Beverly Hills,15,44,8
Chicago,15,44,8
Fitchlea,15,44,8
Gaika,15,44,8
Golden Acres,15,44,8
Goldrich,15,44,8
Hillandale,15,44,8
Mbizo Township,15,44,8
Msasa Park,15,44,8
Newtown,15,44,8
Southwood,15,44,8
Basera,,,9
Bikita,,,9
Bubye River,,,9
Buffalo Range,,,9
Chatsworth,,,9
Chivi,,,9
Estvale,17,52,9
Felixburg,,,9
Gaths Mine,,,9
Glenclova,,,9
Glenlivet,,,9
Gurajena,,,9
Gutu,,,9
Gwengwerere GP,,,9
Hippo Valley,,,9
Mabalauta,,,9
Maranda,,,9
Mashava,,,9
Mbizi,,,9
Mucheke,17,52,9
Mupandawana,,,9
Musekiwa,,,9
Mwenezi,,,9
Ndanga,,,9
Nemanwa,,,9
Ngomahuru,,,9
Ngundu,,,9
Renco,,,9
Rhodene ,17,52,9
Rujeko,17,52,9
Rutenga,,,9
Sango,,,9
Soti-Source,,,9
Target Kopje,17,52,9
Triangle,,,9
Tswiza,,,9
Zaka,,,9
Zimuto Siding,,,9
Birchenough Bridge,,,10
Bordervale,18,59,10
Buhera,,55,10
Cashel,,,10
Chikanga,18,59,10
Chipinge,,57,10
Dangamvura,18,59,10
Darlington,18,59,10
Education[edit],18,59,10
Fairbridge Park,18,59,10
Fern valley,18,59,10
Florida,18,59,10
Garikai Hlalani Kuhle,18,59,10
Gimboki,18,59,10
Greenside,18,59,10
Hauna,,,10
HobHosuse,18,59,10
Mai Maria,18,59,10
Morningside,18,59,10
Murambi,18,59,10
Musha Mukadzi,18,59,10
Natview Park,18,59,10
Nyanga,,61,10
Nyazura,,,10
Palmerston,18,59,10
Sakubva,18,59,10
Tiger's Kloof,18,59,10
Tizvione,,,10
Toronto,18,59,10
Utopia,18,59,10
Weirmouth,18,59,10
Westlea,18,59,10
Yeovil,18,59,10
Zimunya,18,59,10
