NGEZI BARRACKS,Primary
NGEZI HIGH,Secondary
NGEZI PRIMARY,Primary
NGEZI SALVATION ARMY,Secondary
NGOMA,Primary
NGOMAHURU PRIMARY,Primary
NGOMASHA,Primary
NGOMAYEVISE,Primary
NGOMBANE,Primary
NGOMBEYARARA,Primary
NGOMBEYARARA,Secondary
NGOME,Primary
NGOMENI,Secondary
NGOMENI,Primary
NGOMEYEBANI,Secondary
NGONDOMA,Primary
NGONDYORE,Primary
NGULUBENI,Primary
NGUNDU HALT,Secondary
NGUNDU PRIMARY,Primary
NGUNGUMBANE,Primary
NGUNGUMBANE,Secondary
NGURUNDA,Primary
NGUWANYANA,Primary
NGWALONGWALO ,Primary
NGWANA,Primary
NGWANA ,Primary
NGWENA,Primary
NGWINDI,Primary
NHAKAYEDU,Secondary
NHAKAYEDU,Primary
NHAKAYEDU,Secondary
NHAKAYEDU,Primary
NHAMANDE,Secondary
NHAMBURIKO ,Primary
NHAMO,Primary
NHANGURA,Primary
NHANGWI PRIMARY,Primary
NHANHA,Primary
NHARIRA,Primary
NHARIRA,Secondary
NHARIRA,Primary
NHARIRA,Primary
NHARIRA,Secondary
NHARIRA PRIMARY,Primary
NHARIRE,Primary
NHARIRE,Primary
NHARIRE,Secondary
NHEDZIWA,Secondary
NHEMA PRIMARY,Primary
NHEMA ST FRANCIS,Primary
NHENGA,Primary
NHENGURE,Primary
NHERERA,Primary
NHETA,Primary
NHIDZA,Primary
NHLAMBABALOYI ,Primary
NHLAMBABALOYI ,Secondary
NHLANGANO,Primary
NHLANGANO,Primary
NHLANGANO,Secondary
NHLANHLA,Primary
NHLANHLA SEC,Secondary
NHLUPO,Primary
NHLUPO ANNEX,Secondary
NHOMBOKA,Primary
NHONGO,Primary
NHORO,Primary
NHOWE,Secondary
NHOWE C.P.S,Primary
NHWALI,Secondary
NHWALI,Primary
NICHOLAS BHENGU,Secondary
NIDD VALLEY,Primary
NIKITA,Secondary
NIL,Primary
NJARAVANI,Primary
NJEDZA,Secondary
NJELELE,Secondary
NJELELE SDA,Primary
NJENGENJA,Primary
NJERAMA,Primary
NJEREMOTO,Secondary
NJERERE,Primary
NJIVA PRIMARY,Primary
NJOBOLA PRIMARY,Primary
NJOVO PRIMARY,Primary
NJUBE,Secondary
NKALANGE,Primary
NKANKEZI,Primary
NKANKEZI,Secondary
NKASHE,Primary
NKASHE SEC,Secondary
NKAYI,Primary
NKAYI ,Secondary
NKEDILE,Primary
NKENYANE,Primary
NKETA,Primary
NKETA HIGH,Secondary
NKIWANE SANTA MARIA,Primary
NKOSIKAZI,Primary
NKUBA,Primary
NKULULEKO,Secondary
NKULULEKO ,Primary
NKULUMANE,Primary
NKULUMANE,Secondary
NKULUMANE 2,Secondary
NKWALINI,Primary
NKWIZHU,Primary
NLONGWE,Secondary
NONKWANE,Primary
NONO,Primary
NOPEMANO,Primary
NORAH,Secondary
NORAH,Primary
NORTH PARK,Primary
NORTH WOOD  ADVENTIST,Primary
NORTHCOT,Secondary
NORTHEND,Primary
NORTHLEA HIGH,Secondary
NORTHWOOD KUTAMA SIDING ,Primary
NORTON 1,Primary
NORTON 2,Primary
NORTON EDUCATION CENTRE,Primary
NORWOOD (CHINGWERE),Primary
NOTTINGHAM ,Primary
NQAPE,Primary
NQINDI,Secondary
NSANGO,Primary
NSELELO ,Primary
NSENGA HILL,Primary
NSEZI,Primary
NSEZI,Secondary
NSIMBI,Primary
NSUNGWALE,Primary
NSWALA (DANGARENDOVE),Primary
NSWAZWI,Primary
NTABAMHLOPE,Secondary
NTABAMHLOPE,Primary
NTABENDE,Primary
NTABENI,Primary
NTABENI ,Primary
NTALALE,Primary
NTALALE,Secondary
NTENJANE,Primary
NTEPE,Primary
NTEPE GOVERNMENT  RURAL,Secondary
NTIVULE EAST,Primary
NTIVULE WORLDVIEW,Primary
NTIYABEZI,Secondary
NTOBE,Secondary
NTOBE ,Primary
NTOBI,Primary
NTOLI,Primary
NTSHAMATHE,Primary
NTULULA,Primary
NTUNTE,Primary
NTUNUNGWE,Primary
NTUTHUKO PRIMARY,Primary
NULI,Primary
NULI GOVT RURAL,Secondary
NUMWA,Secondary
NUMWA,Primary
NYABAMBA,Secondary
NYABANE,Primary
NYABANGO,Primary
NYABANGO,Primary
NYABATA,Secondary
NYABAWA,Primary
NYABEZE,Primary
NYABIRA,Primary
NYABURUDZI,Secondary
NYACHIDZE,Primary
NYACHURU,Secondary
NYACHURU  ,Primary
NYADARA,Primary
NYADEVI,Primary
NYADI,Primary
NYADI,Secondary
NYADIRE,Primary
NYADIRE,Secondary
NYADUKUTU,Primary
NYADZAMBA PRIMARY,Primary
NYADZONYA,Secondary
NYADZONYA,Primary
NYADZONYA,Secondary
NYADZONYA,Primary
NYAFARU,Secondary
NYAFARU,Primary
NYAGADZA,Primary
